objectid,format,filename,parentid,title,description,latitude,longitude,youtubeid,source,identifier,type,language,rights,rightsstatement,vimeoid,creator,date,subject,location
coll001,image/jpeg,img001,,Cortile Federico II,,45.133503,10.0244694,,,,,,,,,,,,
coll002,image/jpeg,img002,,Palazzo Guazzoni Zaccaria,,45.1341019,10.0326519,,,,,,,,,,,,
coll003,compound_object,img003,,Spoon,,45.1346321,10.024024,,,,,,,,,,,,
,,img004,coll003,,,,,,,,,,,,,,,,
coll004,image/jpeg,img005,,Teatro Monteverdi,,45.1402932,10.0247345,,,,,,,,,,,,
coll005,image/jpeg,img006,,Centro Culturale ,,45.1372414,10.0255213,,,,,,,,,,,,
coll006,image/jpeg,img007,,Cinema Teatro Filo,,45.135807,10.0247154,,,,,,,,,,,,
coll007,image/jpeg,img008,,Auditorium Arvedi (Museo del Violino),,45.1316261,10.0233526,,,,,,,,,,,,
coll008,image/jpeg,img009,,Scuderie del Fico,,45.1354294,10.0200377,,,,,,,,,,,,
coll009,image/jpeg,img010,,Accademia Stauffer,,45.1392288,10.0161219,,,,,,,,,,,,
coll010,image/jpeg,img011,,Palazzo Raimondi (Dipartimento di Musicologia),,45.1395874,10.0163946,,,,,,,,,,,,
coll011,image/jpeg,img012,,Teatro Ponchielli,,45.1325724,10.0189578,,,,,,,,,,,,
coll012,record,https://www.facebook.com/musicfactorylive.official/?locale=it_IT,,MusicFactory Live,,45.1275772,10.0449971,,,,,,,,,,,,
coll013,record,https://www.infinity1.it/,,Infinity 1,,45.1511938,10.0316879,,,,,,,,,,,,
coll014,compound_object,img013,,Giardini di Piazza Roma,,45.1353929,10.0234205,,,,,,,,,,,,
,,img014,coll014,,,,,,,,,,,,,,,,
coll015,image/jpeg,img015,,Associazione Latinoamericana,,45.1384873,10.0254834,,,,,,,,,,,,
coll016,record,https://www.instagram.com/kavarna_spazioautogestito/,,Spazio Sociale Autogestito 'Kavarna',,45.1375578,10.0495654,,,,,,,,,,,,
coll017,image/jpeg,img016,,Circolo ARCI Arcipelago,,45.1350327,10.0304193,,,,,,,,,,,,
coll018,image/jpeg,img017,,Duomo,,45.1335563,10.0249407,,,,,,,,,,,,
coll019,image/jpeg,img018,,Chiesa San Luca,,45.1409869,10.0161097,,,,,,,,,,,,
coll020,compound_object,img019,,Chiesa di San Michele Vetere,,45.1352799,10.032756,,,,,,,,,,,,
,,img020,coll020,,,,,,,,,,,,,,,,
coll021,compound_object,img021,,Chiesa Santa Lucia,,45.1330591,10.0173728,,,,,,,,,,,,
,,img022,coll021,,,,,,,,,,,,,,,,
coll022,compound_object,img023,,Chiesa Sant'Agostino,,45.1350695,10.0190442,,,,,,,,,,,,
,,img024,coll022,,,,,,,,,,,,,,,,
,,img025,coll022,,,,,,,,,,,,,,,,
coll023,image/jpeg,img026,,Chiesa dei Santi Marcellino e Pietro,,45.1337814,10.0203867,,,,,,,,,,,,
coll024,image/jpeg,img027,,Ex Chiesa San Vitale,,45.1310959,10.0238104,,,,,,,,,,,,
coll025,image/jpeg,img029,,Chiesa dei Santi Omobono ed Egidio,,45.1349716,10.0175276,,,,,,,,,,,,
